,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hemisphere
97,Khislavichi,54.19,54.19,59.7,54,0,17.94,RU,1601191104,Northern Hemisphere
98,Port Elizabeth,-33.92,-33.92,57.2,54,20,21.92,ZA,1601190837,Southern Hemisphere
99,Springbok,-29.66,-29.66,44.19,60,0,3.02,ZA,1601191104,Southern Hemisphere
100,Tasiilaq,65.61,65.61,34.48,90,100,5.08,GL,1601191104,Northern Hemisphere
101,Mashivka,49.44,49.44,67.55,41,100,20.67,UA,1601191105,Northern Hemisphere
102,Kahului,20.89,20.89,78.8,65,40,14.99,US,1601191105,Northern Hemisphere
103,Maniitsoq,65.42,65.42,35.85,82,28,17.45,GL,1601191105,Northern Hemisphere
104,Brae,60.4,60.4,46.4,81,32,11.41,GB,1601191106,Northern Hemisphere
105,Skjeberg,59.23,59.23,50.0,81,100,10.29,NO,1601191106,Northern Hemisphere
106,Pogar,52.55,52.55,62.15,49,0,19.26,RU,1601190852,Northern Hemisphere
107,Lorengau,-2.02,-2.02,84.56,75,78,9.15,PG,1601191106,Southern Hemisphere
108,Alad,12.62,12.62,83.37,73,98,3.91,PH,1601191107,Northern Hemisphere
109,Rawson,-43.3,-43.3,51.12,51,0,8.7,AR,1601191107,Southern Hemisphere
110,Laguna,38.42,38.42,75.2,38,1,8.05,US,1601191107,Northern Hemisphere
111,Tiksi,71.69,71.69,41.94,83,100,4.32,RU,1601191107,Northern Hemisphere
112,Qaanaaq,77.48,77.48,11.71,76,0,7.07,GL,1601191108,Northern Hemisphere
113,Bathsheba,13.22,13.22,82.4,78,20,11.41,BB,1601191108,Northern Hemisphere
114,Hilo,19.73,19.73,75.2,83,75,1.52,US,1601190751,Northern Hemisphere
115,Kidal,18.44,18.44,88.03,13,0,7.47,ML,1601191108,Northern Hemisphere
116,Torbay,47.67,47.67,55.0,66,90,18.34,CA,1601191109,Northern Hemisphere
117,Thompson,55.74,55.74,41.0,100,75,4.7,CA,1601191109,Northern Hemisphere
118,Luang Prabang,19.89,19.89,89.6,66,75,4.7,LA,1601191109,Northern Hemisphere
119,Mazurivka,49.27,49.27,51.8,93,75,4.47,UA,1601191109,Northern Hemisphere
120,Ribeira Grande,38.52,38.52,69.8,94,75,10.29,PT,1601191110,Northern Hemisphere
121,Klaksvík,62.23,62.23,42.8,87,100,10.29,FO,1601191110,Northern Hemisphere
122,Jining,35.41,35.41,79.81,42,3,7.83,CN,1601191110,Northern Hemisphere
123,Pouembout,-21.13,-21.13,74.64,79,96,6.78,NC,1601191110,Southern Hemisphere
124,Vao,-22.67,-22.67,73.08,87,28,12.28,NC,1601191111,Southern Hemisphere
125,Galle,6.04,6.04,83.73,73,45,9.64,LK,1601191111,Northern Hemisphere
126,Mahébourg,-20.41,-20.41,73.4,88,75,17.22,MU,1601191111,Southern Hemisphere
127,Ariquemes,-9.91,-9.91,70.56,89,0,2.08,BR,1601191112,Southern Hemisphere
128,Clyde River,70.47,70.47,28.4,86,90,10.29,CA,1601191112,Northern Hemisphere
129,Zyryanka,65.75,65.75,48.65,51,96,10.65,RU,1601191112,Northern Hemisphere
130,Lerwick,60.15,60.15,46.4,81,67,11.41,GB,1601191113,Northern Hemisphere
131,San Juan,-31.54,-31.54,52.95,58,0,11.43,AR,1601190987,Southern Hemisphere
132,Meadow Lake,34.8,34.8,66.2,17,20,1.68,US,1601191113,Northern Hemisphere
133,Puerto Ayora,-0.74,-0.74,68.0,89,41,5.01,EC,1601191113,Southern Hemisphere
134,Hong Kong,22.29,22.29,86.0,80,100,4.0,HK,1601190952,Northern Hemisphere
135,Berea,41.37,41.37,68.0,77,1,13.87,US,1601191114,Northern Hemisphere
136,Bereket,39.24,39.24,71.8,20,23,20.78,TM,1601191114,Northern Hemisphere
137,Arlit,18.74,18.74,89.35,15,52,8.7,NE,1601191114,Northern Hemisphere
138,Tablac,17.22,17.22,85.39,69,100,4.74,PH,1601191115,Northern Hemisphere
139,Bethel,41.37,41.37,66.99,93,90,4.7,US,1601191115,Northern Hemisphere
140,Cape Town,-33.93,-33.93,55.99,66,20,5.82,ZA,1601190863,Southern Hemisphere
141,Jensen Beach,27.25,27.25,78.8,88,1,2.95,US,1601191115,Northern Hemisphere
142,Sitka,57.05,57.05,51.8,81,75,4.7,US,1601191115,Northern Hemisphere
143,Khāmgaon,20.68,20.68,79.72,77,95,8.86,IN,1601191116,Northern Hemisphere
144,Mwinilunga,-11.74,-11.74,81.9,38,0,6.06,ZM,1601191116,Southern Hemisphere
145,Algiers,36.75,36.75,64.4,55,40,9.17,DZ,1601190927,Northern Hemisphere
146,Carnarvon,-24.87,-24.87,75.2,47,0,16.11,AU,1601191116,Southern Hemisphere
147,La Rioja,42.25,42.25,51.8,76,75,9.17,ES,1601191117,Northern Hemisphere
148,Cidreira,-30.18,-30.18,65.07,91,43,22.66,BR,1601191117,Southern Hemisphere
149,Cherskiy,68.75,68.75,39.47,74,100,18.61,RU,1601191117,Northern Hemisphere
150,São Filipe,14.9,14.9,80.87,79,98,9.89,CV,1601191118,Northern Hemisphere
151,Juneau,58.3,58.3,51.01,87,90,12.75,US,1601190909,Northern Hemisphere
152,Esperance,-33.87,-33.87,66.2,72,75,13.87,AU,1601191118,Southern Hemisphere
153,Abhā,18.22,18.22,77.0,19,0,9.17,SA,1601191118,Northern Hemisphere
154,Northam,51.03,51.03,54.0,78,1,8.01,GB,1601191118,Northern Hemisphere
155,Inhambane,-23.86,-23.86,78.8,88,75,4.7,MZ,1601191119,Southern Hemisphere
156,Sidi Ali,36.1,36.1,67.33,74,2,11.65,DZ,1601191119,Northern Hemisphere
157,Haines Junction,60.75,60.75,38.14,84,1,5.59,CA,1601191119,Northern Hemisphere
158,Zavolzhsk,57.48,57.48,57.24,59,0,6.24,RU,1601191119,Northern Hemisphere
159,Vaini,-21.2,-21.2,71.6,83,20,8.05,TO,1601191120,Southern Hemisphere
160,Ketchikan,55.34,55.34,53.6,87,75,10.29,US,1601191120,Northern Hemisphere
161,Bitung,1.45,1.45,87.8,66,40,9.17,ID,1601191120,Northern Hemisphere
162,Uddevalla,58.35,58.35,55.0,100,100,17.22,SE,1601191120,Northern Hemisphere
163,Guano,-1.58,-1.58,43.39,78,0,0.54,EC,1601191121,Southern Hemisphere
164,Hithadhoo,-0.6,-0.6,82.72,65,100,2.68,MV,1601191121,Southern Hemisphere
165,George Town,5.41,5.41,86.0,70,20,8.05,MY,1601191121,Northern Hemisphere
166,Chui,-33.7,-33.7,59.43,97,100,5.97,UY,1601191122,Southern Hemisphere
167,Bambanglipuro,-7.95,-7.95,84.99,41,69,17.2,ID,1601191122,Southern Hemisphere
168,Tessalit,20.2,20.2,87.06,12,0,8.5,ML,1601191122,Northern Hemisphere
169,Nogliki,51.83,51.83,50.85,75,91,16.49,RU,1601191122,Northern Hemisphere
170,Priargunsk,50.37,50.37,56.37,44,2,17.47,RU,1601191123,Northern Hemisphere
171,Hinton,53.4,53.4,36.9,78,0,3.67,CA,1601191123,Northern Hemisphere
172,Tārānagar,28.67,28.67,97.47,20,0,4.56,IN,1601191123,Northern Hemisphere
173,Luwuk,-0.95,-0.95,84.04,69,100,6.15,ID,1601191123,Southern Hemisphere
174,Pahrump,36.21,36.21,69.01,24,4,1.01,US,1601191124,Northern Hemisphere
175,Sinop Province,41.77,41.77,81.43,33,0,2.33,TR,1601191124,Northern Hemisphere
176,Caravelas,-17.71,-17.71,66.92,92,20,4.41,BR,1601191124,Southern Hemisphere
177,Wajima,37.4,37.4,62.6,93,75,4.7,JP,1601191124,Northern Hemisphere
178,Pochutla,15.74,15.74,75.99,95,100,3.02,MX,1601191125,Northern Hemisphere
179,Yazman,29.12,29.12,99.39,22,0,9.4,PK,1601191125,Northern Hemisphere
180,Valparaíso,-33.04,-33.04,50.0,87,0,4.7,CL,1601191049,Southern Hemisphere
181,Tuatapere,-46.13,-46.13,39.0,83,46,11.01,NZ,1601191125,Southern Hemisphere
182,Ekimchan,53.07,53.07,61.05,53,100,4.65,RU,1601191125,Northern Hemisphere
183,Gubkinskiy,64.43,64.43,50.77,88,100,12.3,RU,1601191126,Northern Hemisphere
184,Yangi Marg`ilon,40.43,40.43,71.6,24,0,6.93,UZ,1601191126,Northern Hemisphere
185,Litovko,49.24,49.24,61.48,59,0,2.89,RU,1601191126,Northern Hemisphere
186,Coari,-4.08,-4.08,72.37,93,100,0.56,BR,1601191126,Southern Hemisphere
187,Hirara,24.8,24.8,73.4,94,75,5.82,JP,1601191127,Northern Hemisphere
188,Hasaki,35.73,35.73,77.0,83,75,6.93,JP,1601191127,Northern Hemisphere
189,Te Anau,-45.42,-45.42,35.08,87,71,7.05,NZ,1601191127,Southern Hemisphere
190,Beyneu,45.32,45.32,63.46,33,28,20.24,KZ,1601191128,Northern Hemisphere
191,Ranchpar,40.03,40.03,73.4,49,0,2.24,AM,1601191128,Northern Hemisphere
192,Talnakh,69.49,69.49,39.2,80,75,15.66,RU,1601191128,Northern Hemisphere
193,Marathon,44.9,44.9,66.2,100,75,13.87,US,1601191128,Northern Hemisphere
194,Comodoro Rivadavia,-45.87,-45.87,50.0,55,0,13.87,AR,1601191129,Southern Hemisphere
195,Bawku,11.06,11.06,75.69,88,0,6.78,GH,1601191129,Northern Hemisphere
196,Tuktoyaktuk,69.45,69.45,32.85,97,100,13.15,CA,1601191129,Northern Hemisphere
197,San Rafael,-34.62,-34.62,51.96,55,43,4.85,AR,1601191129,Southern Hemisphere
198,Saint-Philippe,-21.36,-21.36,77.0,61,20,6.93,RE,1601191130,Southern Hemisphere
199,Punta Ocote,15.2,15.2,68.13,86,44,2.68,HN,1601191130,Northern Hemisphere
200,Rāpar,23.57,23.57,88.05,47,64,9.51,IN,1601191130,Northern Hemisphere
201,Anito,12.45,12.45,86.38,70,98,10.02,PH,1601191131,Northern Hemisphere
202,Palmer,42.16,42.16,66.2,93,90,2.04,US,1601191131,Northern Hemisphere
203,Vilyuysk,63.76,63.76,49.12,78,100,7.76,RU,1601191131,Northern Hemisphere
204,Yerbogachën,61.28,61.28,50.32,52,30,11.3,RU,1601191131,Northern Hemisphere
205,Vostok,46.49,46.49,55.38,51,0,3.44,RU,1601191132,Northern Hemisphere
206,Atar,20.52,20.52,86.36,26,0,13.33,MR,1601191132,Northern Hemisphere
207,Province of Trapani,37.83,37.83,72.0,72,20,13.87,IT,1601191132,Northern Hemisphere
208,Saint George,37.1,37.1,72.0,14,1,3.36,US,1601191132,Northern Hemisphere
209,Carballo,43.21,43.21,61.0,87,75,5.82,ES,1601191133,Northern Hemisphere
210,San Policarpo,12.18,12.18,85.82,70,68,10.6,PH,1601191133,Northern Hemisphere
211,Castro,-24.79,-24.79,64.89,47,0,2.21,BR,1601190836,Southern Hemisphere
212,Aransas Pass,27.91,27.91,81.0,83,1,16.11,US,1601190982,Northern Hemisphere
213,Secunda,-26.55,-26.55,63.0,52,0,5.01,ZA,1601191134,Southern Hemisphere
214,Sabaudia,41.3,41.3,57.99,96,100,4.14,IT,1601191134,Northern Hemisphere
215,Goundam,16.41,16.41,85.96,50,0,12.3,ML,1601191134,Northern Hemisphere
216,Eisenerz,47.53,47.53,43.0,100,2,2.24,AT,1601191134,Northern Hemisphere
217,Urengoy,65.97,65.97,49.35,78,100,6.44,RU,1601191134,Northern Hemisphere
218,San Patricio,19.22,19.22,78.08,84,49,3.0,MX,1601190922,Northern Hemisphere
219,Luau,-10.71,-10.71,79.3,48,29,5.86,AO,1601191135,Southern Hemisphere
220,Santa Cruz del Sur,20.71,20.71,77.16,86,0,8.61,CU,1601191135,Northern Hemisphere
221,Valle d'Aosta,45.77,45.77,48.0,69,100,2.24,IT,1601191135,Northern Hemisphere
222,Ukiah,39.15,39.15,64.4,68,1,3.36,US,1601191042,Northern Hemisphere
223,Gorelki,54.27,54.27,57.18,45,24,14.25,RU,1601191136,Northern Hemisphere
224,Antofagasta,-23.65,-23.65,57.2,76,90,9.17,CL,1601191128,Southern Hemisphere
225,Lagoa,39.05,39.05,69.84,88,0,17.52,PT,1601191136,Northern Hemisphere
226,Rocha,-34.48,-34.48,59.05,96,100,7.34,UY,1601191137,Southern Hemisphere
227,Bambous Virieux,-20.34,-20.34,77.0,88,75,17.22,MU,1601191137,Southern Hemisphere
228,Syas'stroy,60.14,60.14,57.81,74,0,8.9,RU,1601191137,Northern Hemisphere
229,Bom Jesus,-9.07,-9.07,70.65,51,100,3.4,BR,1601191137,Southern Hemisphere
230,Bouar,5.93,5.93,70.02,92,100,2.13,CF,1601191138,Northern Hemisphere
231,Egvekinot,66.32,66.32,27.77,91,2,6.64,RU,1601191138,Northern Hemisphere
232,Tirumullaivāsal,11.23,11.23,90.61,57,51,6.76,IN,1601191138,Northern Hemisphere
233,Douglasville,33.75,33.75,66.0,92,100,3.76,US,1601191138,Northern Hemisphere
234,Hōjō,33.98,33.98,80.01,54,40,14.99,JP,1601191139,Northern Hemisphere
235,Raub,3.79,3.79,88.72,49,100,4.23,MY,1601191139,Northern Hemisphere
236,Necochea,-38.55,-38.55,51.01,99,100,1.99,AR,1601191139,Southern Hemisphere
237,Carbondale,37.73,37.73,64.4,88,1,9.17,US,1601190847,Northern Hemisphere
238,Bāfq,31.61,31.61,91.06,10,0,5.26,IR,1601191139,Northern Hemisphere
239,Bilibino,68.05,68.05,28.51,95,40,1.54,RU,1601191140,Northern Hemisphere
240,Rio das Pedras,-22.84,-22.84,73.99,56,0,6.93,BR,1601191140,Southern Hemisphere
241,Poum,-20.23,-20.23,75.15,83,21,15.14,NC,1601191140,Southern Hemisphere
242,Upernavik,72.79,72.79,26.73,93,96,5.86,GL,1601191140,Northern Hemisphere
243,Santa Cruz de La Palma,28.68,28.68,73.4,78,75,18.34,ES,1601191141,Northern Hemisphere
244,Lüderitz,-26.65,-26.65,56.75,50,0,22.62,NA,1601191141,Southern Hemisphere
245,Gigmoto,13.78,13.78,87.22,64,91,6.96,PH,1601191141,Northern Hemisphere
246,Tonj,7.27,7.27,79.83,79,94,3.36,SS,1601191141,Northern Hemisphere
247,Fortuna,40.6,40.6,61.0,100,90,3.36,US,1601191142,Northern Hemisphere
248,Barcelos,41.54,41.54,60.8,93,40,5.82,PT,1601191142,Northern Hemisphere
249,Rocky Mountain House,52.37,52.37,37.8,74,0,4.05,CA,1601190904,Northern Hemisphere
250,Santa Marta,11.24,11.24,75.0,88,41,8.93,CO,1601191034,Northern Hemisphere
251,Hamilton,39.18,39.18,64.99,93,1,4.7,US,1601190905,Northern Hemisphere
252,Setermoen,68.86,68.86,35.01,86,0,10.29,NO,1601191143,Northern Hemisphere
253,Leningradskiy,69.38,69.38,30.72,95,92,4.85,RU,1601191143,Northern Hemisphere
254,La Libertad,-2.23,-2.23,68.23,87,88,8.97,EC,1601191144,Southern Hemisphere
255,Kavieng,-2.57,-2.57,83.75,78,51,10.09,PG,1601191144,Southern Hemisphere
256,Makakilo City,21.35,21.35,78.8,65,1,4.7,US,1601191144,Northern Hemisphere
257,Turan,16.07,16.07,93.2,56,20,8.05,VN,1601191144,Northern Hemisphere
258,Asău,46.43,46.43,64.4,59,20,8.05,RO,1601191145,Northern Hemisphere
259,Berlevåg,70.86,70.86,42.64,67,0,16.89,NO,1601191145,Northern Hemisphere
260,Chegdomyn,51.12,51.12,61.93,54,98,6.64,RU,1601191145,Northern Hemisphere
261,Ancud,-41.87,-41.87,46.99,93,45,1.01,CL,1601191145,Southern Hemisphere
262,Riviere-au-Renard,49.0,49.0,68.0,60,75,9.17,CA,1601191146,Northern Hemisphere
263,Port-Gentil,-0.72,-0.72,78.8,78,40,12.75,GA,1601191146,Southern Hemisphere
264,Escanaba,45.75,45.75,64.4,93,75,4.7,US,1601191112,Northern Hemisphere
265,Nouadhibou,20.93,20.93,78.8,61,0,13.87,MR,1601191146,Northern Hemisphere
266,Imbituba,-28.24,-28.24,68.0,94,40,6.93,BR,1601191146,Southern Hemisphere
267,Villazón,-22.09,-22.09,49.77,40,0,7.31,BO,1601191147,Southern Hemisphere
268,Okha,53.57,53.57,51.82,74,0,16.51,RU,1601191147,Northern Hemisphere
269,Pisco,-13.7,-13.7,60.8,82,0,10.29,PE,1601191147,Southern Hemisphere
270,Kaohsiung City,22.62,22.62,89.6,59,75,12.75,TW,1601191147,Northern Hemisphere
271,Hobyo,5.35,5.35,82.17,66,32,16.04,SO,1601191148,Northern Hemisphere
272,Weligama,5.97,5.97,85.66,68,53,10.29,LK,1601191148,Northern Hemisphere
273,Sal Rei,16.18,16.18,80.6,83,75,10.29,CV,1601191149,Northern Hemisphere
274,Mossamedes,-15.2,-15.2,64.92,81,98,6.06,AO,1601191149,Southern Hemisphere
275,Havelock,34.88,34.88,69.8,94,20,4.18,US,1601191149,Northern Hemisphere
276,Gabú,12.28,12.28,71.49,95,76,1.66,GW,1601191149,Northern Hemisphere
277,Prince Albert,53.2,53.2,50.0,93,90,8.05,CA,1601190904,Northern Hemisphere
278,Petropavlovsk-Kamchatskiy,53.05,53.05,50.0,76,100,11.18,RU,1601191150,Northern Hemisphere
279,Mareeba,-17.0,-17.0,86.0,53,36,5.99,AU,1601191150,Southern Hemisphere
280,Huanren,41.26,41.26,72.77,51,0,2.71,CN,1601191150,Northern Hemisphere
281,Calama,-22.47,-22.47,41.0,38,0,16.11,CL,1601191151,Southern Hemisphere
282,Salamiyah,35.01,35.01,80.62,41,0,5.21,SY,1601191151,Northern Hemisphere
283,Pinotepa de Don Luis,16.42,16.42,69.26,100,98,3.27,MX,1601191151,Northern Hemisphere
284,Ugoofaaru,5.67,5.67,82.67,75,40,9.31,MV,1601191151,Northern Hemisphere
285,Zhashkiv,49.25,49.25,64.72,85,100,17.85,UA,1601191152,Northern Hemisphere
286,Provideniya,64.38,64.38,32.99,89,1,7.76,RU,1601191152,Northern Hemisphere
287,Kathu,7.92,7.92,84.2,79,75,11.41,TH,1601191152,Northern Hemisphere
288,Sharjah city,25.36,25.36,91.4,70,0,2.24,AE,1601191099,Northern Hemisphere
289,Freeport,40.66,40.66,68.0,100,90,5.7,US,1601191109,Northern Hemisphere
290,Pacific Grove,36.62,36.62,61.0,92,13,1.01,US,1601191060,Northern Hemisphere
291,The Valley,18.22,18.22,84.2,74,20,8.05,AI,1601191153,Northern Hemisphere
292,Iqaluit,63.75,63.75,28.4,79,90,4.7,CA,1601191153,Northern Hemisphere
293,Gijón,43.54,43.54,57.0,76,78,3.04,ES,1601191154,Northern Hemisphere
294,Mount Gambier,-37.83,-37.83,57.2,58,33,10.29,AU,1601191154,Southern Hemisphere
