City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hemisphere
Hilo,19.73,-155.09,84.2,70,1,13.87,US,1601419987,Northern Hemisphere
Jalu,29.03,21.55,83.3,36,0,10.94,LY,1601420050,Northern Hemisphere
Fort Nelson,58.81,-122.7,59.0,30,5,10.29,CA,1601420050,Northern Hemisphere
Balkanabat,39.51,54.37,55.76,36,0,4.18,TM,1601420050,Northern Hemisphere
Rockland,41.17,-74.05,70.0,96,79,9.31,US,1601419813,Northern Hemisphere
Vaini,-21.2,-175.2,78.8,88,75,8.05,TO,1601420051,Southern Hemisphere
Tongliao,43.61,122.27,46.87,60,0,3.76,CN,1601420038,Northern Hemisphere
Sinnamary,5.38,-52.95,80.1,82,51,7.43,GF,1601420051,Northern Hemisphere
Boa Vista,2.82,-60.67,89.6,46,20,5.82,BR,1601420051,Northern Hemisphere
Urusha,54.05,122.9,37.2,83,1,1.59,RU,1601420052,Northern Hemisphere
Avarua,-21.21,-159.78,78.8,78,24,24.16,CK,1601420052,Southern Hemisphere
Atuona,-9.8,-139.03,78.58,71,13,17.0,PF,1601419981,Southern Hemisphere
Nome,64.5,-165.41,43.0,60,75,3.58,US,1601420053,Northern Hemisphere
Kismayo,-0.36,42.55,77.05,80,45,14.09,SO,1601420053,Southern Hemisphere
Barrow,71.29,-156.79,33.8,80,90,8.05,US,1601419880,Northern Hemisphere
Nautla,20.22,-96.78,71.38,62,100,19.55,MX,1601420054,Northern Hemisphere
Hong Kong,22.29,114.16,81.0,89,20,10.58,HK,1601419819,Northern Hemisphere
Rikitea,-23.12,-134.97,70.48,79,28,20.13,PF,1601419976,Southern Hemisphere
Plainview,40.78,-73.47,72.0,88,90,11.41,US,1601419761,Northern Hemisphere
Erzincan Province,39.75,39.5,57.2,67,13,2.24,TR,1601420054,Northern Hemisphere
Lebu,-37.62,-73.65,49.73,84,78,20.74,CL,1601420055,Southern Hemisphere
Dwārka,22.24,68.97,80.69,74,0,13.24,IN,1601420055,Northern Hemisphere
Punta Arenas,-53.15,-70.92,33.8,79,75,32.21,CL,1601420055,Southern Hemisphere
Cape Town,-33.93,18.42,55.99,76,4,12.75,ZA,1601420056,Southern Hemisphere
Jamestown,42.1,-79.24,57.99,76,90,5.82,US,1601420056,Northern Hemisphere
Qaanaaq,77.48,-69.36,14.56,80,0,5.93,GL,1601420056,Northern Hemisphere
Bethel,41.37,-73.41,69.8,94,75,5.82,US,1601419846,Northern Hemisphere
Clarence Town,-32.58,151.78,66.0,63,100,8.05,AU,1601420057,Southern Hemisphere
Chipinge,-20.19,32.62,60.67,99,83,3.27,ZW,1601420057,Southern Hemisphere
Aklavik,68.22,-135.01,39.2,86,90,5.82,CA,1601420057,Northern Hemisphere
Moscow,55.75,37.62,57.0,61,94,6.71,RU,1601419515,Northern Hemisphere
Hermanus,-34.42,19.23,50.0,89,7,6.29,ZA,1601419988,Southern Hemisphere
Katsuura,35.13,140.3,66.2,68,20,11.41,JP,1601420058,Northern Hemisphere
Severo-Kuril'sk,50.68,156.12,53.67,77,85,9.78,RU,1601420058,Northern Hemisphere
Poum,-20.23,164.02,70.52,65,2,10.51,NC,1601420059,Southern Hemisphere
Forssa,60.81,23.62,53.01,93,100,3.94,FI,1601420059,Northern Hemisphere
Bredasdorp,-34.53,20.04,50.0,81,1,2.24,ZA,1601420059,Southern Hemisphere
Half Moon Bay,37.46,-122.43,79.0,87,90,5.82,US,1601420060,Northern Hemisphere
San Patricio,19.22,-104.7,89.6,66,75,5.82,MX,1601420016,Northern Hemisphere
Mazatlán,23.22,-106.42,91.4,70,40,8.05,MX,1601420060,Northern Hemisphere
Rørvik,64.86,11.24,55.4,79,100,8.41,NO,1601420060,Northern Hemisphere
Suicheng,33.9,117.93,61.12,86,0,8.99,CN,1601420061,Northern Hemisphere
Jacareacanga,-6.22,-57.75,81.63,59,87,0.49,BR,1601420061,Southern Hemisphere
Nikolskoye,59.7,30.79,52.0,87,40,2.24,RU,1601420061,Northern Hemisphere
Ponta do Sol,32.67,-17.1,69.8,73,75,9.17,PT,1601420062,Northern Hemisphere
Russell,32.35,-85.2,63.0,88,40,5.82,US,1601420062,Northern Hemisphere
Quatre Cocos,-20.21,57.76,71.6,88,40,11.41,MU,1601420040,Southern Hemisphere
Yellowknife,62.46,-114.35,46.4,70,90,14.99,CA,1601420062,Northern Hemisphere
Swan River,52.11,-101.27,57.99,51,92,11.43,CA,1601420062,Northern Hemisphere
Saldanha,-33.01,17.94,50.0,81,0,5.82,ZA,1601420063,Southern Hemisphere
Boromo,11.75,-2.93,79.38,73,0,7.52,BF,1601420063,Northern Hemisphere
Carnarvon,-24.87,113.63,60.8,77,0,16.11,AU,1601420063,Southern Hemisphere
Dongying,37.46,118.49,61.11,49,3,7.16,CN,1601420064,Northern Hemisphere
Los Llanos de Aridane,28.66,-17.92,73.4,73,40,11.41,ES,1601420064,Northern Hemisphere
Departamento de Maldonado,-34.67,-54.92,64.99,55,0,10.29,UY,1601420064,Southern Hemisphere
Longyearbyen,78.22,15.64,46.4,75,75,18.34,SJ,1601419997,Northern Hemisphere
Ahipara,-35.17,173.17,57.31,56,68,9.55,NZ,1601420065,Southern Hemisphere
Puerto Ayora,-0.74,-90.35,66.99,93,93,8.01,EC,1601419992,Southern Hemisphere
Usinsk,65.99,57.53,43.81,93,99,9.89,RU,1601420065,Northern Hemisphere
Fortuna,40.6,-124.16,69.8,60,1,12.75,US,1601420066,Northern Hemisphere
Te Anau,-45.42,167.72,40.93,83,46,2.46,NZ,1601420066,Southern Hemisphere
São João da Barra,-21.64,-41.05,73.94,88,88,8.99,BR,1601420066,Southern Hemisphere
Guangming,45.33,122.78,48.69,64,0,2.53,CN,1601420067,Northern Hemisphere
Alice Springs,-23.7,133.88,66.2,52,0,9.17,AU,1601419978,Southern Hemisphere
Murdochville,48.96,-65.5,62.42,90,11,12.53,CA,1601419886,Northern Hemisphere
Port Hedland,-20.32,118.57,68.0,42,21,4.7,AU,1601420067,Southern Hemisphere
Waingapu,-9.66,120.26,80.33,70,99,6.53,ID,1601419896,Southern Hemisphere
Vágur,61.47,-6.81,51.04,83,63,27.96,FO,1601420068,Northern Hemisphere
Severo-Yeniseyskiy,60.37,93.04,25.3,97,72,4.52,RU,1601420068,Northern Hemisphere
Bambous Virieux,-20.34,57.76,71.6,88,40,11.41,MU,1601420069,Southern Hemisphere
Saint-Philippe,-21.36,55.77,69.8,73,20,6.93,RE,1601420069,Southern Hemisphere
Leningradskiy,69.38,178.42,37.29,77,87,8.08,RU,1601420005,Northern Hemisphere
São Filipe,14.9,-24.5,79.68,76,14,11.03,CV,1601420070,Northern Hemisphere
New Norfolk,-42.78,147.06,52.0,73,100,3.47,AU,1601420070,Southern Hemisphere
Caluire-et-Cuire,45.79,4.84,51.8,87,95,2.06,FR,1601420070,Northern Hemisphere
Tūkrah,32.53,20.58,73.33,73,0,11.48,LY,1601420070,Northern Hemisphere
Coyhaique,-45.58,-72.07,44.6,45,20,6.93,CL,1601420047,Southern Hemisphere
Husavik,66.04,-17.34,33.8,86,40,3.36,IS,1601420071,Northern Hemisphere
Chara,56.91,118.26,37.96,79,100,0.72,RU,1601420071,Northern Hemisphere
Butaritari,3.07,172.79,82.35,75,30,14.12,KI,1601420072,Northern Hemisphere
Ribeira Grande,38.52,-28.7,66.88,68,1,11.95,PT,1601419996,Northern Hemisphere
Tiznit Province,29.58,-9.5,68.92,70,0,1.74,MA,1601420072,Northern Hemisphere
Chokurdakh,70.63,147.92,39.0,89,65,6.82,RU,1601420073,Northern Hemisphere
Hongjiang,27.11,110.0,65.23,92,100,2.84,CN,1601420073,Northern Hemisphere
General Roca,-39.03,-67.58,69.8,18,27,14.99,AR,1601419807,Southern Hemisphere
Castro,-24.79,-50.01,66.22,88,67,4.61,BR,1601420073,Southern Hemisphere
Kushima,31.46,131.23,68.0,94,75,5.82,JP,1601420074,Northern Hemisphere
Saint George,37.1,-113.58,89.6,6,1,3.36,US,1601420060,Northern Hemisphere
Ilulissat,69.22,-51.1,28.4,63,57,6.93,GL,1601420074,Northern Hemisphere
Kapustin Yar,48.58,45.74,52.41,43,23,9.37,RU,1601420074,Northern Hemisphere
Mirny,62.54,113.96,23.0,92,20,6.71,RU,1601420075,Northern Hemisphere
Bluff,-46.6,168.33,45.0,92,99,8.01,NZ,1601420075,Southern Hemisphere
Semey,50.41,80.23,28.4,92,38,11.18,KZ,1601420075,Northern Hemisphere
General Pico,-35.66,-63.76,66.52,49,0,6.8,AR,1601420076,Southern Hemisphere
Hambantota,6.12,81.12,77.0,100,75,6.93,LK,1601420076,Northern Hemisphere
Tulagi,-9.1,160.15,80.6,83,75,5.82,SB,1601420076,Southern Hemisphere
Tasiilaq,65.61,-37.64,33.8,74,100,12.75,GL,1601420077,Northern Hemisphere
Nizhniy Kuranakh,58.84,125.49,41.77,86,100,4.12,RU,1601420077,Northern Hemisphere
Acatlán,20.15,-98.45,50.65,72,100,6.24,MX,1601420077,Northern Hemisphere
Tiksi,71.69,128.87,33.96,96,100,11.39,RU,1601419987,Northern Hemisphere
Ayan,56.45,138.17,47.3,68,48,10.58,RU,1601420078,Northern Hemisphere
Talnakh,69.49,88.4,32.0,95,75,8.95,RU,1601420078,Northern Hemisphere
Tuatapere,-46.13,167.68,45.0,92,87,8.01,NZ,1601419807,Southern Hemisphere
Yerbogachën,61.28,108.01,26.29,93,88,3.38,RU,1601420079,Northern Hemisphere
Rio Grande,-32.03,-52.1,62.01,84,81,1.99,BR,1601420054,Southern Hemisphere
Lorengau,-2.02,147.27,84.02,73,59,9.46,PG,1601420079,Southern Hemisphere
Solnechnyy,50.72,136.63,45.45,79,64,3.76,RU,1601420080,Northern Hemisphere
Seymchan,62.88,152.43,43.12,76,100,8.19,RU,1601420080,Northern Hemisphere
Vaitape,-16.52,-151.75,79.56,77,3,22.88,PF,1601420080,Southern Hemisphere
Kudahuvadhoo,2.67,72.89,82.49,74,100,8.05,MV,1601419892,Northern Hemisphere
Mataura,-46.19,168.86,45.0,92,100,8.01,NZ,1601419983,Southern Hemisphere
Saint Paul Harbor,57.79,-152.41,51.8,76,90,31.09,US,1601420081,Northern Hemisphere
Belaya Gora,68.53,146.42,43.77,81,68,4.74,RU,1601420081,Northern Hemisphere
Honiara,-9.43,159.95,80.6,83,75,5.82,SB,1601420082,Southern Hemisphere
Torbay,47.67,-52.73,66.99,93,90,20.8,CA,1601419793,Northern Hemisphere
Soyo,-6.13,12.37,74.32,81,91,7.31,AO,1601420082,Southern Hemisphere
Kavaratti,10.57,72.64,80.42,81,100,11.99,IN,1601420083,Northern Hemisphere
Boyolangu,-8.12,111.89,75.24,87,48,3.24,ID,1601420083,Southern Hemisphere
Inhambane,-23.86,35.38,73.53,85,67,3.4,MZ,1601420084,Southern Hemisphere
Mattawa,46.74,-119.9,82.0,24,1,2.93,US,1601420084,Northern Hemisphere
Thompson,55.74,-97.86,55.4,62,75,9.17,CA,1601420084,Northern Hemisphere
Clyde River,70.47,-68.59,26.6,86,75,12.75,CA,1601420004,Northern Hemisphere
Walvis Bay,-22.96,14.51,53.01,87,0,8.05,NA,1601420055,Southern Hemisphere
Prado,-17.34,-39.22,75.18,83,0,10.54,BR,1601420085,Southern Hemisphere
Sioux Lookout,50.1,-91.92,51.8,81,75,4.7,CA,1601420085,Northern Hemisphere
Sidhaulī,27.28,80.83,77.0,88,0,2.19,IN,1601420085,Northern Hemisphere
Laguna,38.42,-121.42,99.0,21,1,3.36,US,1601420042,Northern Hemisphere
San Cristobal,7.77,-72.22,87.8,43,40,18.34,VE,1601420086,Northern Hemisphere
Jérémie,18.65,-74.12,82.98,73,23,4.45,HT,1601420086,Northern Hemisphere
Lagoa,39.05,-27.98,66.69,68,73,10.49,PT,1601420022,Northern Hemisphere
Tolaga Bay,-38.37,178.3,54.84,43,4,7.49,NZ,1601419807,Southern Hemisphere
Vao,-22.67,167.48,67.35,74,0,22.39,NC,1601420087,Southern Hemisphere
Cabedelo,-6.98,-34.83,73.4,88,29,5.82,BR,1601420087,Southern Hemisphere
Ternate,0.8,127.4,80.13,79,96,4.59,ID,1601420059,Northern Hemisphere
Sitka,57.05,-135.33,53.6,71,90,5.82,US,1601420087,Northern Hemisphere
Norman Wells,65.28,-126.83,46.4,65,20,12.75,CA,1601420088,Northern Hemisphere
Cap Malheureux,-19.98,57.61,71.01,83,94,4.0,MU,1601420088,Southern Hemisphere
Saskylakh,71.92,114.08,25.23,97,12,5.57,RU,1601420013,Northern Hemisphere
San Jerónimo,-11.95,-75.28,54.16,62,56,4.23,PE,1601420089,Southern Hemisphere
Koumac,-20.57,164.28,73.22,59,0,13.65,NC,1601420089,Southern Hemisphere
Mar del Plata,-38.0,-57.56,68.0,49,39,9.17,AR,1601420014,Southern Hemisphere
Eslöv,55.84,13.3,53.01,94,45,5.26,SE,1601420089,Northern Hemisphere
Mahébourg,-20.41,57.7,71.6,88,40,11.41,MU,1601420090,Southern Hemisphere
Henties Bay,-22.12,14.28,53.01,89,0,5.01,NA,1601420027,Southern Hemisphere
Esmeraldas,-19.76,-44.31,87.8,33,20,8.05,BR,1601420090,Southern Hemisphere
Imeni Poliny Osipenko,52.42,136.49,46.27,77,95,5.01,RU,1601420091,Northern Hemisphere
Isangel,-19.55,169.27,73.54,79,65,19.22,VU,1601420091,Southern Hemisphere
Timmins,48.47,-81.33,55.4,82,75,6.93,CA,1601419904,Northern Hemisphere
Limenaria,40.63,24.58,64.99,72,20,4.7,GR,1601420091,Northern Hemisphere
Faanui,-16.48,-151.75,78.71,79,3,22.93,PF,1601420092,Southern Hemisphere
Bandarbeyla,9.49,50.81,77.85,79,62,20.94,SO,1601419998,Northern Hemisphere
Teahupoo,-17.83,-149.27,86.0,62,40,13.87,PF,1601420092,Southern Hemisphere
Puerto Escondido,15.85,-97.07,86.0,70,90,4.36,MX,1601420093,Northern Hemisphere
Port Elizabeth,-33.92,25.57,50.0,93,36,5.82,ZA,1601419854,Southern Hemisphere
Cabo San Lucas,22.89,-109.91,91.4,58,5,14.99,MX,1601420093,Northern Hemisphere
Galesong,-5.32,119.37,75.2,94,20,2.24,ID,1601420093,Southern Hemisphere
Río Gallegos,-51.62,-69.22,37.4,55,40,27.51,AR,1601420094,Southern Hemisphere
Pochutla,15.74,-96.47,84.99,75,93,4.27,MX,1601420094,Northern Hemisphere
Camabatela,-8.19,15.38,63.03,93,100,3.47,AO,1601420094,Southern Hemisphere
Coahuayana Viejo,18.73,-103.68,78.8,83,75,9.17,MX,1601420095,Northern Hemisphere
Nānākuli,21.39,-158.15,91.0,58,1,12.75,US,1601420095,Northern Hemisphere
Eyl,7.98,49.82,77.02,82,52,14.97,SO,1601420096,Northern Hemisphere
Pangai,-19.8,-174.35,82.4,74,40,13.87,TO,1601420096,Southern Hemisphere
Adrar,20.5,-10.07,93.25,17,0,8.32,MR,1601420096,Northern Hemisphere
Christchurch,-43.53,172.63,52.0,37,0,10.29,NZ,1601419945,Southern Hemisphere
Örnsköldsvik,63.29,18.72,48.2,100,90,2.24,SE,1601420097,Northern Hemisphere
Ruidoso,33.33,-105.67,68.0,20,1,6.93,US,1601420097,Northern Hemisphere
Weligama,5.97,80.42,77.49,85,100,7.67,LK,1601420098,Northern Hemisphere
Nanortalik,60.14,-45.24,36.18,77,0,22.1,GL,1601420098,Northern Hemisphere
Alofi,-19.06,-169.92,80.6,83,75,14.99,NU,1601420098,Southern Hemisphere
Rafaela,-31.25,-61.49,75.0,31,0,5.01,AR,1601420099,Southern Hemisphere
São Félix do Xingu,-6.64,-51.99,83.25,54,53,1.9,BR,1601420099,Southern Hemisphere
Kenai,60.55,-151.26,53.01,62,1,9.17,US,1601420026,Northern Hemisphere
Yertsevo,60.8,40.09,46.26,92,95,5.41,RU,1601420099,Northern Hemisphere
Cadiz,36.5,-5.75,68.0,67,48,6.55,ES,1601420100,Northern Hemisphere
Songling,31.19,120.72,70.0,96,12,6.35,CN,1601420100,Northern Hemisphere
Tabriz,38.08,46.29,55.4,47,0,9.17,IR,1601420100,Northern Hemisphere
Umm Kaddadah,13.6,26.69,88.02,47,79,13.67,SD,1601420101,Northern Hemisphere
Tuktoyaktuk,69.45,-133.04,37.4,93,90,3.36,CA,1601420101,Northern Hemisphere
Praia da Vitória,38.73,-27.07,66.2,68,75,9.33,PT,1601420102,Northern Hemisphere
Decatur,39.84,-88.95,59.0,58,90,6.93,US,1601419871,Northern Hemisphere
Colesberg,-30.72,25.1,45.05,51,0,8.43,ZA,1601420102,Southern Hemisphere
San Vicente,-26.62,-54.13,73.44,66,42,3.36,AR,1601420103,Southern Hemisphere
Katherine,-14.47,132.27,84.2,62,50,6.93,AU,1601420103,Southern Hemisphere
Calabozo,8.92,-67.43,77.86,92,83,4.25,VE,1601420104,Northern Hemisphere
North Bend,43.41,-124.22,80.01,47,75,6.93,US,1601420104,Northern Hemisphere
Pathein,16.78,94.73,75.9,94,58,3.76,MM,1601419814,Northern Hemisphere
Jiaojiang,28.68,121.44,70.0,99,64,4.74,CN,1601420105,Northern Hemisphere
Luganville,-15.53,167.17,80.6,74,75,5.82,VU,1601420105,Southern Hemisphere
Bien Hoa,10.95,106.82,77.0,100,75,1.12,VN,1601420105,Northern Hemisphere
Souillac,-20.52,57.52,71.6,88,40,11.41,MU,1601420019,Southern Hemisphere
Nador,35.17,-2.93,71.6,83,20,2.24,MA,1601420106,Northern Hemisphere
Sławno,54.36,16.68,52.57,90,33,3.89,PL,1601420106,Northern Hemisphere
Lüderitz,-26.65,15.16,58.62,52,0,21.21,NA,1601420038,Southern Hemisphere
Nabire,-3.37,135.48,80.83,79,98,2.3,ID,1601420107,Southern Hemisphere
Kachīry,53.07,76.1,36.07,81,2,2.39,KZ,1601420107,Northern Hemisphere
Bud,39.45,-86.18,60.01,51,75,5.82,US,1601420107,Northern Hemisphere
Namatanai,-3.67,152.43,83.95,70,67,6.29,PG,1601420108,Southern Hemisphere
Codrington,-38.27,141.97,55.92,89,100,14.58,AU,1601419992,Southern Hemisphere
Dikson,73.51,80.55,35.55,81,100,14.61,RU,1601420108,Northern Hemisphere
Pastavy,55.12,26.83,49.35,96,13,8.14,BY,1601420108,Northern Hemisphere
George Town,5.41,100.34,80.6,94,20,1.12,MY,1601420109,Northern Hemisphere
Strzegom,50.96,16.35,55.99,91,96,8.66,PL,1601420109,Northern Hemisphere
Chapada dos Guimarães,-15.46,-55.75,100.4,17,77,5.82,BR,1601419811,Southern Hemisphere
Geraldton,-28.77,114.6,48.2,93,1,8.05,AU,1601420109,Southern Hemisphere
Rānāghāt,23.18,88.58,82.4,100,40,1.7,IN,1601420110,Northern Hemisphere
Havøysund,71.0,24.66,46.4,87,20,8.05,NO,1601420110,Northern Hemisphere
Airai,-8.93,125.41,68.2,52,100,4.0,TL,1601420110,Southern Hemisphere
Bubaque,11.28,-15.83,81.97,79,64,8.34,GW,1601420111,Northern Hemisphere
Deputatsky,69.3,139.9,34.75,89,95,2.19,RU,1601419872,Northern Hemisphere
Ca Mau,9.18,105.15,76.01,90,66,2.84,VN,1601420094,Northern Hemisphere
Salalah,17.02,54.09,77.0,83,13,4.7,OM,1601420112,Northern Hemisphere
Luanda,-8.84,13.23,73.4,83,40,5.82,AO,1601420112,Southern Hemisphere
Athabasca,54.72,-113.29,57.2,38,0,15.95,CA,1601420112,Northern Hemisphere
Orlik,52.52,99.83,32.05,94,100,0.89,RU,1601420113,Northern Hemisphere
Dunedin,-45.87,170.5,46.99,63,84,25.01,NZ,1601420113,Southern Hemisphere
Mount Gambier,-37.83,140.77,55.4,93,90,11.41,AU,1601420114,Southern Hemisphere
Amposta,40.71,0.58,63.0,89,0,1.68,ES,1601420114,Northern Hemisphere
Abonnema,4.71,6.79,75.2,94,75,2.57,NG,1601420114,Northern Hemisphere
Port-Gentil,-0.72,8.78,77.0,83,40,9.17,GA,1601419870,Southern Hemisphere
Navolato,24.77,-107.69,98.01,57,0,5.01,MX,1601420115,Northern Hemisphere
Changji,44.02,87.32,44.6,45,0,8.95,CN,1601420115,Northern Hemisphere
Boffa,10.17,-14.03,77.2,90,67,3.06,GN,1601420115,Northern Hemisphere
Berlevåg,70.86,29.09,50.14,82,6,11.72,NO,1601420116,Northern Hemisphere
Manaus,-3.1,-60.02,82.4,94,90,1.12,BR,1601420112,Southern Hemisphere
Port Keats,-14.25,129.55,84.96,64,3,7.43,AU,1601420116,Southern Hemisphere
Udachny,66.42,112.4,23.0,100,90,8.95,RU,1601420117,Northern Hemisphere
Egvekinot,66.32,-179.17,33.64,91,84,2.91,RU,1601420117,Northern Hemisphere
Ancud,-41.87,-73.82,37.99,100,90,10.29,CL,1601419990,Southern Hemisphere
Nauchnyy Gorodok,53.42,83.52,30.2,80,12,11.18,RU,1601420117,Northern Hemisphere
Warrnambool,-38.38,142.48,57.99,77,99,7.0,AU,1601420118,Southern Hemisphere
Beloha,-25.17,45.05,66.18,95,19,5.61,MG,1601420119,Southern Hemisphere
San Andrés,12.58,-81.7,84.2,74,75,2.24,CO,1601420119,Northern Hemisphere
Chibuto,-24.69,33.53,68.63,88,100,13.2,MZ,1601420119,Southern Hemisphere
Qarqīn,37.42,66.04,51.42,52,4,5.7,AF,1601420120,Northern Hemisphere
Am Timan,11.03,20.28,74.17,90,95,4.65,TD,1601420120,Northern Hemisphere
Azanka,58.04,64.79,40.21,94,69,5.17,RU,1601420121,Northern Hemisphere
Saint-Joseph,-21.37,55.62,69.8,73,20,6.93,RE,1601419824,Southern Hemisphere
Pacific Grove,36.62,-121.92,75.0,91,7,5.99,US,1601419958,Northern Hemisphere
Dillon,34.42,-79.37,75.2,100,90,3.36,US,1601419832,Northern Hemisphere
Ambon City,-3.7,128.18,75.2,94,20,4.7,ID,1601420122,Southern Hemisphere
Vangaindrano,-23.35,47.6,66.54,89,12,4.72,MG,1601420122,Southern Hemisphere
Kamaishi,39.27,141.88,57.2,93,75,4.7,JP,1601420122,Northern Hemisphere
Qian’an,44.99,124.06,48.16,69,0,3.2,CN,1601420123,Northern Hemisphere
Otane,-39.88,176.63,55.72,49,65,3.18,NZ,1601420123,Southern Hemisphere
Keflavik,64.0,-22.56,39.2,86,40,3.36,IS,1601420123,Northern Hemisphere
Ust-Nera,64.57,143.2,40.6,69,93,8.25,RU,1601420123,Northern Hemisphere
Sensuntepeque,13.87,-88.63,87.8,70,20,6.93,SV,1601420124,Northern Hemisphere
Luau,-10.71,22.22,67.3,82,100,3.38,AO,1601420124,Southern Hemisphere
Mwense,-10.38,28.7,69.26,73,14,3.69,ZM,1601420124,Southern Hemisphere
Okato,-39.2,173.88,55.99,49,83,8.99,NZ,1601420125,Southern Hemisphere
Kiryat Gat,31.61,34.76,77.0,83,0,1.57,IL,1601420125,Northern Hemisphere
Upernavik,72.79,-56.15,23.4,87,59,6.6,GL,1601420126,Northern Hemisphere
Okhotsk,59.38,143.3,46.62,73,100,3.65,RU,1601420044,Northern Hemisphere
Gouré,13.98,10.27,80.01,69,58,3.0,NE,1601420126,Northern Hemisphere
Nacala,-14.54,40.67,72.43,91,0,4.09,MZ,1601420126,Southern Hemisphere
Kavieng,-2.57,150.8,83.55,70,62,5.5,PG,1601420011,Southern Hemisphere
Kūdligi,14.9,76.38,69.84,93,100,7.81,IN,1601420127,Northern Hemisphere
Bartlesville,36.75,-95.98,77.0,23,1,9.17,US,1601420000,Northern Hemisphere
Fukuechō,32.69,128.84,71.26,78,11,15.39,JP,1601420128,Northern Hemisphere
Cidreira,-30.18,-50.21,63.12,83,56,19.15,BR,1601420128,Southern Hemisphere
Yeppoon,-23.13,150.73,71.6,56,20,10.29,AU,1601420128,Southern Hemisphere
Korla,41.76,86.15,55.99,75,0,1.99,CN,1601420129,Northern Hemisphere
Pozo Colorado,-23.49,-58.8,91.33,34,20,8.41,PY,1601420129,Southern Hemisphere
Tabaquite,10.38,-61.3,84.2,79,20,6.93,TT,1601420129,Northern Hemisphere
Port Moresby,-9.44,147.18,80.37,76,82,10.94,PG,1601420052,Southern Hemisphere
Porto Nacional,-10.71,-48.42,89.6,52,46,2.24,BR,1601420130,Southern Hemisphere
Arlit,18.74,7.39,94.64,10,0,5.86,NE,1601420130,Northern Hemisphere
Vila Velha,-20.33,-40.29,81.0,83,75,8.05,BR,1601419909,Southern Hemisphere
Sylling,59.9,10.28,52.0,97,21,1.01,NO,1601420130,Northern Hemisphere
Broken Hill,-31.95,141.43,57.2,76,1,13.87,AU,1601420123,Southern Hemisphere
Mandalgovi,45.76,106.27,43.07,74,100,13.96,MN,1601420131,Northern Hemisphere
Taoudenni,22.68,-3.98,96.46,10,0,9.33,ML,1601420131,Northern Hemisphere
Trelew,-43.25,-65.31,47.71,80,49,11.27,AR,1601420132,Southern Hemisphere
Mildura,-34.2,142.15,59.0,87,100,6.93,AU,1601420132,Southern Hemisphere
Sabzawār,36.21,57.68,45.61,47,0,5.44,IR,1601420133,Northern Hemisphere
Scottsbluff,41.87,-103.67,82.4,14,1,16.11,US,1601420133,Northern Hemisphere
Ulaangom,49.98,92.07,39.72,68,100,4.56,MN,1601420133,Northern Hemisphere
Faya,18.39,42.45,64.4,52,0,0.69,SA,1601420133,Northern Hemisphere
Échirolles,45.13,5.72,51.01,91,45,1.99,FR,1601420134,Northern Hemisphere
Kloulklubed,7.04,134.26,78.8,88,90,3.36,PW,1601420134,Northern Hemisphere
